Wavelength (nm),%T,
900,95.51670074,
899.9000244,93.37527466,
899.7999878,93.86930847,
899.7000122,93.51403046,
899.5999756,94.86328125,
899.5,94.9861908,
899.4000244,92.90936279,
899.2999878,95.60179901,
899.2000122,94.82875824,
899.0999756,94.80556488,
899,94.13819885,
898.9000244,93.59900665,
898.7999878,94.37293243,
898.7000122,92.38056183,
898.5999756,95.28322601,
898.5,94.3063736,
898.4000244,96.46566772,
898.2999878,93.28624725,
898.2000122,93.10877991,
898.0999756,94.61030579,
898,96.33829498,
897.9000244,94.96747589,
897.7999878,94.9091568,
897.7000122,91.43950653,
897.5999756,95.04621887,
897.5,94.6917572,
897.4000244,94.36216736,
897.2999878,95.50749969,
897.2000122,96.81789398,
897.0999756,94.21321106,
897,93.13928223,
896.9000244,93.2248764,
896.7999878,95.13175201,
896.7000122,95.15355682,
896.5999756,94.06521606,
896.5,96.63336182,
896.4000244,94.7722702,
896.2999878,96.81771851,
896.2000122,95.35301971,
896.0999756,93.48810577,
896,94.30297852,
895.9000244,96.02495575,
895.7999878,94.1590271,
895.7000122,91.60154724,
895.5999756,94.85025024,
895.5,94.39231873,
895.4000244,94.69741058,
895.2999878,93.21755219,
895.2000122,93.88513184,
895.0999756,96.47667694,
895,93.36651611,
894.9000244,95.68173218,
894.7999878,93.86338043,
894.7000122,93.78053284,
894.5999756,95.04569244,
894.5,94.81977081,
894.4000244,95.32308197,
894.2999878,95.71589661,
894.2000122,93.97033691,
894.0999756,94.42354584,
894,95.17976379,
893.9000244,94.7848587,
893.7999878,95.46676636,
893.7000122,93.59820557,
893.5999756,94.8347168,
893.5,94.61603546,
893.4000244,95.2357254,
893.2999878,95.49352264,
893.2000122,95.45098114,
893.0999756,95.32829285,
893,93.86495209,
892.9000244,94.71178436,
892.7999878,96.47407532,
892.7000122,94.75379944,
892.5999756,95.39726257,
892.5,94.25275421,
892.4000244,94.54481506,
892.2999878,94.80116272,
892.2000122,93.54940033,
892.0999756,94.30039215,
892,95.83926392,
891.9000244,95.352211,
891.7999878,93.91947174,
891.7000122,95.48036957,
891.5999756,94.8871994,
891.5,95.81398773,
891.4000244,93.38582611,
891.2999878,93.97407532,
891.2000122,94.67739105,
891.0999756,94.53495026,
891,93.26119232,
890.9000244,96.10440826,
890.7999878,95.01072693,
890.7000122,94.07421875,
890.5999756,94.77605438,
890.5,95.27742004,
890.4000244,93.11740875,
890.2999878,95.58165741,
890.2000122,95.04052734,
890.0999756,94.36517334,
890,93.29386902,
889.9000244,93.45254517,
889.7999878,93.08406067,
889.7000122,95.01062775,
889.5999756,93.96678925,
889.5,94.11987305,
889.4000244,94.95510864,
889.2999878,95.3404541,
889.2000122,95.03549194,
889.0999756,95.12281799,
889,95.39453125,
888.9000244,92.88589478,
888.7999878,95.92137909,
888.7000122,92.8117981,
888.5999756,93.252388,
888.5,94.12687683,
888.4000244,94.75429535,
888.2999878,95.85292053,
888.2000122,93.20342255,
888.0999756,93.29402924,
888,95.13486481,
887.9000244,95.41897583,
887.7999878,93.12931061,
887.7000122,94.03634644,
887.5999756,94.51717377,
887.5,96.11566925,
887.4000244,93.70841217,
887.2999878,94.46589661,
887.2000122,94.87248993,
887.0999756,92.80357361,
887,94.10174561,
886.9000244,92.80915833,
886.7999878,93.05643463,
886.7000122,94.33115387,
886.5999756,94.72050476,
886.5,93.98308563,
886.4000244,95.31600189,
886.2999878,95.26230621,
886.2000122,92.29099274,
886.0999756,94.98922729,
886,95.05863953,
885.9000244,94.46656799,
885.7999878,95.82324219,
885.7000122,95.72327423,
885.5999756,95.72171783,
885.5,95.07085419,
885.4000244,95.39521027,
885.2999878,94.70879364,
885.2000122,94.84242249,
885.0999756,94.97045898,
885,94.18204498,
884.9000244,94.47136688,
884.7999878,94.19268036,
884.7000122,95.15183258,
884.5999756,94.25017548,
884.5,95.04322052,
884.4000244,94.41318512,
884.2999878,93.9330368,
884.2000122,95.6242218,
884.0999756,94.2460556,
884,94.06710052,
883.9000244,95.96624756,
883.7999878,96.48410034,
883.7000122,93.59095001,
883.5999756,93.9805603,
883.5,95.38056183,
883.4000244,92.58778381,
883.2999878,93.53691101,
883.2000122,96.17764282,
883.0999756,93.68056488,
883,95.71405792,
882.9000244,93.83641815,
882.7999878,93.83782196,
882.7000122,93.03001404,
882.5999756,94.24330902,
882.5,95.27529144,
882.4000244,94.59358978,
882.2999878,93.70483398,
882.2000122,93.14587402,
882.0999756,93.22703552,
882,94.09103394,
881.9000244,94.59250641,
881.7999878,94.92696381,
881.7000122,95.06695557,
881.5999756,95.10643005,
881.5,94.19845581,
881.4000244,95.10071564,
881.2999878,94.48338318,
881.2000122,95.19123077,
881.0999756,94.85891724,
881,93.84772491,
880.9000244,93.61849976,
880.7999878,94.12845612,
880.7000122,94.65633392,
880.5999756,93.86444855,
880.5,95.4347229,
880.4000244,95.97193146,
880.2999878,95.44895935,
880.2000122,95.02393341,
880.0999756,95.35603333,
880,95.66556549,
879.9000244,94.29845428,
879.7999878,93.98134613,
879.7000122,94.40291595,
879.5999756,94.67669678,
879.5,94.6394577,
879.4000244,92.78919983,
879.2999878,94.97984314,
879.2000122,95.44381714,
879.0999756,94.46615601,
879,95.18238068,
878.9000244,94.31464386,
878.7999878,94.5560379,
878.7000122,94.18104553,
878.5999756,94.16333008,
878.5,95.22134399,
878.4000244,94.11154938,
878.2999878,93.66309357,
878.2000122,94.03148651,
878.0999756,93.79234314,
878,94.62335968,
877.9000244,94.52436829,
877.7999878,94.7191391,
877.7000122,94.29075623,
877.5999756,94.94127655,
877.5,94.00260162,
877.4000244,94.89321899,
877.2999878,94.91709137,
877.2000122,94.39224243,
877.0999756,93.94026184,
877,94.2043457,
876.9000244,94.70389557,
876.7999878,94.63011932,
876.7000122,94.52213287,
876.5999756,93.49645233,
876.5,94.92333221,
876.4000244,94.96007538,
876.2999878,94.72801971,
876.2000122,94.33908081,
876.0999756,93.45012665,
876,94.94167328,
875.9000244,94.44164276,
875.7999878,94.51445007,
875.7000122,94.56490326,
875.5999756,94.74230957,
875.5,93.782547,
875.4000244,94.5294342,
875.2999878,94.44774628,
875.2000122,94.60943604,
875.0999756,93.78909302,
875,94.81350708,
874.9000244,95.59117126,
874.7999878,94.8228302,
874.7000122,94.40437317,
874.5999756,95.55140686,
874.5,94.49921417,
874.4000244,94.32570648,
874.2999878,94.82935333,
874.2000122,93.81485748,
874.0999756,95.02597809,
874,94.3706665,
873.9000244,94.43425751,
873.7999878,95.37252808,
873.7000122,94.99951172,
873.5999756,94.99710846,
873.5,94.26408386,
873.4000244,96.01457977,
873.2999878,95.00531006,
873.2000122,95.54720306,
873.0999756,93.41873169,
873,94.01535797,
872.9000244,94.82387543,
872.7999878,94.47502136,
872.7000122,94.20988464,
872.5999756,94.93444061,
872.5,94.65235138,
872.4000244,94.49085236,
872.2999878,95.17995453,
872.2000122,94.48161316,
872.0999756,94.29675293,
872,94.45874023,
871.9000244,94.60497284,
871.7999878,94.35736847,
871.7000122,94.49712372,
871.5999756,95.68936157,
871.5,94.42169952,
871.4000244,94.75537872,
871.2999878,94.7840271,
871.2000122,94.30631256,
871.0999756,95.74466705,
871,95.13925934,
870.9000244,95.21805573,
870.7999878,94.80644989,
870.7000122,94.84896851,
870.5999756,94.49114227,
870.5,94.54667664,
870.4000244,94.62278748,
870.2999878,94.29415131,
870.2000122,94.93732452,
870.0999756,95.23868561,
870,94.51821136,
869.9000244,94.13911438,
869.7999878,94.87249756,
869.7000122,94.22328186,
869.5999756,94.73809814,
869.5,94.48782349,
869.4000244,94.61867523,
869.2999878,94.78334808,
869.2000122,94.17185211,
869.0999756,94.89801788,
869,94.69224548,
868.9000244,94.87507629,
868.7999878,94.37615967,
868.7000122,94.63884735,
868.5999756,94.94217682,
868.5,95.01300812,
868.4000244,94.67770386,
868.2999878,94.7612381,
868.2000122,95.35068512,
868.0999756,94.65707397,
868,94.47845459,
867.9000244,94.44969177,
867.7999878,94.55083466,
867.7000122,95.35744476,
867.5999756,94.81835175,
867.5,95.09147644,
867.4000244,95.43697357,
867.2999878,94.38568878,
867.2000122,94.93943024,
867.0999756,94.47636414,
867,95.51053619,
866.9000244,94.88366699,
866.7999878,94.22267151,
866.7000122,95.22956085,
866.5999756,94.64526367,
866.5,94.73139954,
866.4000244,94.68470764,
866.2999878,94.58162689,
866.2000122,95.06156158,
866.0999756,94.92108917,
866,94.86347198,
865.9000244,94.25770569,
865.7999878,94.43521881,
865.7000122,94.70232391,
865.5999756,94.98799896,
865.5,95.45730591,
865.4000244,93.89907074,
865.2999878,95.09521484,
865.2000122,94.44308472,
865.0999756,94.53256989,
865,94.38606262,
864.9000244,94.75919342,
864.7999878,94.83587646,
864.7000122,95.57424164,
864.5999756,94.653862,
864.5,94.37158203,
864.4000244,95.18764496,
864.2999878,94.90635681,
864.2000122,94.57922363,
864.0999756,94.70793152,
864,94.10488892,
863.9000244,94.41915131,
863.7999878,94.89839935,
863.7000122,94.46179199,
863.5999756,94.8883667,
863.5,94.42410278,
863.4000244,94.91376495,
863.2999878,94.47279358,
863.2000122,94.81001282,
863.0999756,94.18317413,
863,94.8680954,
862.9000244,94.73540497,
862.7999878,94.46828461,
862.7000122,94.53787994,
862.5999756,95.32587433,
862.5,94.6652832,
862.4000244,94.14021301,
862.2999878,94.08302307,
862.2000122,94.72090149,
862.0999756,94.87422943,
862,94.61349487,
861.9000244,94.59804535,
861.7999878,94.70271301,
861.7000122,94.85599518,
861.5999756,94.58302307,
861.5,94.68692017,
861.4000244,94.52532196,
861.2999878,94.46286774,
861.2000122,95.32169342,
861.0999756,94.69596863,
861,94.74668884,
860.9000244,94.38340759,
860.7999878,94.15748596,
860.7000122,94.65392303,
860.5999756,94.04347992,
860.5,94.79881287,
860.4000244,94.89690399,
860.2999878,94.54746246,
860.2000122,95.0965271,
860.0999756,94.63575745,
860,95.2040863,
859.9000244,94.81147766,
859.7999878,94.67839813,
859.7000122,94.54475403,
859.5999756,94.90724945,
859.5,94.74333191,
859.4000244,94.41138458,
859.2999878,94.25308228,
859.2000122,93.88838196,
859.0999756,94.98822784,
859,94.75161743,
858.9000244,94.33747101,
858.7999878,94.69191742,
858.7000122,94.76502991,
858.5999756,94.44025421,
858.5,95.11756897,
858.4000244,95.02948761,
858.2999878,94.66035461,
858.2000122,94.61068726,
858.0999756,94.69351196,
