"wavelength","reflectance","feature"
380,1.15536626854185,"NTrZ"
381,1.15575948735695,"NTrZ"
382,1.15614757222423,"NTrZ"
383,1.15652261461121,"NTrZ"
384,1.15687422223327,"NTrZ"
385,1.15718206779724,"NTrZ"
386,1.15742334025778,"NTrZ"
387,1.15757458311143,"NTrZ"
388,1.15760975802214,"NTrZ"
389,1.15750218119572,"NTrZ"
390,1.1572335821915,"NTrZ"
391,1.15681934398302,"NTrZ"
392,1.15628326289735,"NTrZ"
393,1.15567321330955,"NTrZ"
394,1.15513338178676,"NTrZ"
395,1.1548320329441,"NTrZ"
396,1.15490226725898,"NTrZ"
397,1.15533652865785,"NTrZ"
398,1.15609209692945,"NTrZ"
399,1.15712625186249,"NTrZ"
400,1.15835125688184,"NTrZ"
401,1.15949930995681,"NTrZ"
402,1.16025759269288,"NTrZ"
403,1.16037917019338,"NTrZ"
404,1.15988064155322,"NTrZ"
405,1.15884448936521,"NTrZ"
406,1.15735777486415,"NTrZ"
407,1.15552587385291,"NTrZ"
408,1.15345874077634,"NTrZ"
409,1.15126253626912,"NTrZ"
410,1.14902824572512,"NTrZ"
411,1.14684306072802,"NTrZ"
412,1.14479007792955,"NTrZ"
413,1.14293601425362,"NTrZ"
414,1.14134349169222,"NTrZ"
415,1.14005860916537,"NTrZ"
416,1.13906137330532,"NTrZ"
417,1.13831526767236,"NTrZ"
418,1.13778377582677,"NTrZ"
419,1.13742383498206,"NTrZ"
420,1.13716619696454,"NTrZ"
421,1.13693506725375,"NTrZ"
422,1.13665517521993,"NTrZ"
423,1.13625334579624,"NTrZ"
424,1.13565692780652,"NTrZ"
425,1.1348008853766,"NTrZ"
426,1.13365064384013,"NTrZ"
427,1.13217924383273,"NTrZ"
428,1.13037696141486,"NTrZ"
429,1.1283030143465,"NTrZ"
430,1.12603385581249,"NTrZ"
431,1.12364576280587,"NTrZ"
432,1.12121430755254,"NTrZ"
433,1.1188148860866,"NTrZ"
434,1.11652289444214,"NTrZ"
